label	text
pos	"This is a film which had eluded me thus far but, now that I've watched it, emerges as one of the major entries in the noir style. As usual with the DivX format, the viewing was far from ideal  marred by the occasional video and (mostly) audio glitches  but, given that the film is still unavailable on R1 DVD, this will have to do for the moment. Since the film's reputation is quite high within the genre itself, I assume that the reason behind this oversight is because it does not have a well-known actor in the lead.<br /><br />Anyway, the belated entrance of the film's nominal star  Franchot Tone  packs quite a wallop (especially as he is shown to be the villain from the first)! Tone was a underrated actor  he was rarely given meaty roles, and this may well be his best (making his paranoiac both fascinating and believably dangerous). The female lead  Ella Raines, who would later feature in BRUTE FORCE (1947) as well as Siodmak's own THE SUSPECT (1944) and THE STRANGE AFFAIR OF UNCLE HARRY (1945)  is quite lovely and capably takes on the role of the distraught secretary out to prove her convicted boss (Alan Baxter) innocent of his wife's brutal murder. Other key supporting parts are essayed by Thomas Gomez as the initially bullying but ultimately sympathetic police investigator, and Elisha Cook Jr.  the genre's quintessential fall guy  as an ill-fated ""ladies' man"" of a percussionist.<br /><br />Like BRUTE FORCE's Jules Dassin, Siodmak was on a noir roll at this point in his career and this film definitely benefits from his superb direction  all tilted angles and terrific set-pieces, including the justly celebrated jazz sequence in which Cook manically beats on his drums in a sexual frenzy brought on by the sluttishly-attired Raines (who is putting on an act to get his attention and eventually drive him to confess that he withheld evidence at the inquest which could spring her resigned lover from jail). Another great, lengthy sequence is the one in which Raines follows a bartender (another uncooperative witness) around the streets of New York  which results in his being mowed down by a car! <br /><br />Notable, too, is the trial sequence  which is entirely depicted through the audience's reaction so that judge, jury, witnesses and D.A. are never actually seen (although the judge's voice is recognizably that of veteran character actor Samuel S. Hinds). The centerpiece of the film is the scene in which Gomez and Tone discuss the nature of the criminal involved, with the inspector's put down of the latter as mentally insane giving the initially smug Tone ""dizzy spells"". The suspenseful climax finds Raines alone with Tone in his apartment, where she discovers evidence of his guilt  and he confesses to having had an affair with Baxter's wife, but killed her when she wouldn't desert her husband for him.<br /><br />By the way, I hit upon a little goof in the film: while the story is clearly set in 1943, I noticed that during the taxi cab ride towards the beginning of the film  in which Alan Curtis escorts the titular lady to the theater  the establishing shot of New York (comprising clearly of stock footage) features a marquee promoting Laurel and Hardy's 1938 musical comedy, SWISS MISS! Incidentally, famed mystery writer Cornell Woolrich wrote the original novel on which this was based using a pseudonym."
pos	My discovery of the cinema of Jan Svankmajer opened My eyes to a whole tradition of Czech animation, of which Jirí Trnka was a pioneer. His Ruka is one of the finest, most technically-impressive animated movies I've ever seen.<br /><br />A potter wakes up and waters his plant. Then he goes about making a pot. But in comes the huge hand which crashes the pot and demands that the potter make a statue of itself. He casts the hand out, but soon it returns and imprisons him in a bird cage where he's forced to sculpt a stone hand. He sets about it, fainting from exhaustion, but eventually completes the task.<br /><br />In a marvellous sequence of metacinema, the potter uses a candle to burn his visible puppet strings, which keep him in thrall, and he escapes back home. He shuts himself in and is accidentally killed by his own beloved plant when it falls on his head.<br /><br />This movie doesn't hide the fact it's pure animation, unlike modern movies that strive to be realistic (why?). The hand, for instance, is clearly someone's hand in a glove. Everything else is clay. Strings are visible and are part of the narrative, making it a precursor of the movie Strings. The atmosphere is eerie: that hand going after the little potter managed to instill more dread in me than many horror movies combined.<br /><br />The movie is obvious but it avoids being totally manipulative for its simplicity. it's a fable about artistic freedom and tyranny which can't help winning the heart and mind of anyone who holds freedom as a natural right.
pos	"I read a small ad in some horror magazine in the early nineties about Liebe des Totes (the love of the dead) or something similar. This of course awoke my curiosity so I ordered Nekromantik 1 & 2 and Der Todesking (The Death King). The Nekromantik movies are Ok, even kind of interesting and unique in their approach to the subject Necrophilia (even if they obviously are horror-opera entries rather than intended to invoke fear in the viewers mind, they are actually quite funny.)<br /><br />TODESKING, on the other hand is, in my opinion, one of the best films ever made. It consist of a series of scenes depicting the many facets of death. Death as an enemy; Death as a reliever, Death as the very fysical decomposition of the body. The film is a metaphor over life. It shows how fragile life is and how short our lives are. It reduces its viewers to the childs they (we) actually are. The fact that we cannot really understand the nature of Death, and hence neither the process of dying, is the core message of the film. This is a most realistic film. Never does Buttgereit try to hide death behind white roses or whatever. No matter what moral standards you set up, death is unevitable, and will sooner or later be not a fiction but YOUR reality. This applies to YOU, Dear Reader, like it applies to the viewers of the film. Some juvenile reviewers seem not to grasp this, which is fully excused, since they of course will live forever...<br /><br />This is no exploitation movie. Why? Because death does not exploit us humans. It harvests us. We grow for seven days, then we are brought back to the schopenhauerian state of pre-birth, that is Death. Buttgereit gives us his version of the oldest of tales. Whether you choose to regard it as ""optimistic"" or ""pessimistic"" is up to you. At first glance it may seem very dark. Consider though, that in order for something to live, something else must die. ""Who wants to live forever?""<br /><br />I believe that when Buttgereit shows a body, that are being consumed by maggots, he shows not only decomposition, but GENERATION of new life. Is it not better to die and give life to maggots and then birds and eventually become soil, than to remain the living dead zombie that is one of the the favorite pets of the genre?<br /><br />When you realize this, you see Der Todesking it its right context.<br /><br />Sieben Tage hat die Woche, siebenmal letzte Stunden. Seven are the days of week (weak, mortal !), seven times the last hour.<br /><br />Dont fear the Reaper, Buttgereit tells us, because the Reaper takes only what is ripe. And apples that are not plucked for food will rot!<br /><br />Have a good life, fellow IMDB'ers !<br /><br />(And watch this film, that compares only to Ingemar Bergmans ""The Seventh Seal"" in terms of depth and universality)"
pos	Sidney Stratton is having trouble maintaining jobs at various textile mills mainly because of his experimentation in the textile laboratories. Stratton's experimenting on a formula for a new fabric which would create the ultimate fabric, one that never gets dirty, never wrinkles, or wears out. When Stratton eventually creates the fabric he creates enemies in all the textile workers (who will lose their jobs) and the owners (who will lose money since one mill has the exclusive rights), so Stratton in his white suit becomes the most hunted man in England. The film is ideal and only Ealing could have made it so. Guiness' performance (and a great supporting cast such as Greenwood, Thesiger, and Parker) and Mackendrick's direction make the film a delight, but the real hero is the story itself, a nice satire on business and industry with additional elements of drama, romance, and suspense. Rating, 8.
pos	Simple story... why say more? It nails it's premise. World War 3 kills all or most of the human race and we're viewing 2 of the survivors. The message is that the 2 warring sides should not have been at odds in the first place. Distilled down to representatives from each side, we see they have everything to come together for:<br /><br />Security... Finding resources... food, shelter, etc... Survival... Love...<br /><br />At the end they've decided to pool their resources, (she finally does), so they will survive. Simple story, expressed in the limited budget of the early 60s television landscape. We see it in 2009 as somewhat old and maybe predictable. In the early 60s, no one had seen such stuff... I give it a 10...
pos	<br /><br />So, not being a poet myself, I have no real way to convey the beauty and simplicity of this documentary. The effortless motion of Goldsworthy, as he molds natures beauty into his own work is captivating. Watch him stick reeds together in a web hanging from a tree in a close up for a few minutes while he speaks of his work, and then receive the payoff when the camera cuts to the wide shot. Be amazed by the ease with which he operates and then realize the futility when a slight breeze knocks down the entire web.<br /><br />The genius of Goldsworthy seemingly knows no bounds as his inspiration is nature itself. It is in the essential change of nature where his work, though complete in its own sphere, is made whole.
pos	"I'm not entirely sure Rob Schmidt qualifies as a ""Master"" in the genre of horror, since he previously just directed one horror film called ""Wrong Turn"" and that one was actually just was slightly above mediocre, but fact is that he made with ""Right to Die"" one of the best and creepiest episodes of the entire second season of the ""Masters of Horror"" franchise. There was a similar underdog story in season one, when William Malone made on of the best episodes with ""The Fair Haired Child"" even though his other long feature films ""Fear Dot Com"" and ""House on Haunted Hill"" sucked pretty badly.<br /><br />The story of ""Right to Die"" cleverly picks in on the nowadays piping hot social debate of euthanasia, but thankfully also features multiple old-fashioned horror themes like ghostly vengeance, murderous conspiracies, pitch black humor and comic book styled violence. Whilst driving home late one night and discussing the husband's continuous adultery, the Addison couple are involved in a terrible car accident. Cliff walks away from the wreck unharmed but his wife Abby is fully burned and needs to be kept alive artificially. Whilst Cliff and his sleazy attorney (Corbin Bernsen of ""The Dentist"") want to plug the plug on her and sue the car constructor, Abbey's mum sets up a giant media campaign to keep her daughter alive as a vegetable and blame everything on Cliff. Meanwhile Abbey's hateful spirit comes back for revenge and kills someone in Cliff's surrounding whenever she has a near fatal experience with the medical devices. After a few victims, Cliff realizes it might be safer for him to keep his wife alive if he wants to remain alive as well. ""Right to Die"" is a stupendous episode and exactly the type of stuff I always hoped to see from a TV-series concept like ""Masters of Horror"". It's violent and gory with a sick & twisted sense of humor and loads of sleaze sequences. The euthanasia theme and the whole obligatory media circus that surrounds it is processed into the script very well, yet without unnecessarily reverting to political standpoints or morality lessons. The atmosphere is suspenseful and the killing sequences are suitably nasty and unsettling. Actresses Julia Anderson and Robin Sydney both have pretty face and impressively voluptuous racks, which is always a welcome plus, and Corbin Bernsen is finally offered the chance again to depict a mean-spirited and egocentric bastard. Great ""MoH"" episode; definitely one of the highlights of both seasons."
pos	"While browsing the internet for previous sale prices, I ran across these comments. Why are they all so serious? It's just a movie and it's not pornographic. I acquired this short film from my parents 30 years ago and have always been totally delighted with it. I've shown it to many of my friends & they all loved it too. I feel privileged to own this original 1932 8mm black and white silent film of Shirley before she became popular or well known. After reading the other comments, I agree that the film is ""racy"". Big deal! I only wish it was longer. It seems that I must be the only person who owns one of these originals, for sale at least, so I wonder how much it's worth?"
pos	This is one of those rare movies, it's lovely and compelling, dignified and quirky, a true gift. I consider it a prerequisite for any trip to Italy, or any vacation at all, because it reminds you to open yourself up to a broader experience (yup, find the magic). I especially loved Josie Lawrence, as Lottie Wilkins, but every lead and supporting actor is flawless in this film. Further the costumes, if you're drawn to fashion and costumes, are extraordinarily well done. I just wish they'd release it on DVD because I'm wearing my tape version out! <br /><br />Absolutely well worth your time, just make sure to settle in to watch it, without any interruptions.
pos	Maslin Beach is a real nudist/naturist beach south of Adelaide, on the Fleurieu Peninsula, in South Australia. It is also the name of an Australian film that used the beach as a location.<br /><br />Maslin Beach is labelled a romantic comedy. This could be slightly misleading, as it is not a 'hilarious' film, nor is it really romantic in the traditional sense, but it does have light-hearted moments. Much as life itself, there are also moments of sadness too. It is also entirely shot at the nudist beach mentioned above, and nudity runs throughout the length of film. The viewer quickly learns to accept this as normal, and concentrate on the plot, not the copious amount of flesh.<br /><br />Simon and Marcie (Michael Allen and Eliza Lovell) arrive by car at a beach-side car park. They take their belongings to the beach, and while they are walking, a voice-over from Simon talks about his confusion about what real love is. The rest of the film is an exploration of this, framed by one complete day at the beach. The basic story is of what happens to Simon's love life, but there are also many other characters highlighted in several separate vignettes.<br /><br />When they arrive at the beach, both Simon and Marcie appear bored with each other. Marcie sees them as a 'Romeo and Juliet' romantic couple. Simon is just bored with it all. Next, we are introduced to Gail (Bonnie-Jaye Lawrence), Paula (Zara Collins) and Jenny (Jennifer Ross). They are walking down the beach together discussing Gail's chances of finding the 'perfect' man, aided by the 'powers' of a necklace that brought good luck to her Grandmother. However, there are many more interesting people on the beach, not all of them 'attractive' and young (part of the realism of this film).<br /><br />To service the beach's patrons there is a flatulent, short-sighted ice-cream salesperson with a van. This is Ben (Gary Waddell), who is a friend of Simon, and is also his unofficial counsellor. I would think that this character is the main comic element. It is hard to say though, as there is nothing about Ben that would make you laugh aloud, unless you were intoxicated, male and very young! Maslin Beach does have a major redeeming feature though, and that is that it does not dwell too long on any one subject. As the quality of acting is variable, the script is suspect and everything about Maslin Beach is cheap, the lack of continuity is a positive boon. In fact, there is something about this film (not the nudity) that I find appealing. It is hard to define what it is, but it could be something to do with its bluntness, and downright 'Aussie' attitude to carnal matters.<br /><br />The camera work in Maslin Beach deserves a mention. Sometimes it is very good, with some stunning static shots and 'pans' of the beach, cliffs and a sunset. As nudity is a major factor in this film, framing is an important aspect of the camera work. There is no sense of gratuity in the framing, meaning that the framing is done so that the camera does not dwell on 'private' body parts. This helps to ease any sense of viewer discomfort from being within the subject's 'personal space', and makes the film more tasteful. Not an easy task, given the location for filming.<br /><br />Maslin Beach is neither a 'skin flick' for post-pubescent, testosterone charged males, nor a 'Mills and Boon' romance for under-appreciated women. Maslin Beach does not seem to fit anywhere in genre. The actors are not 'attractive' in the Baywatch sense, and are just 'normal' people that you would see on the beach anywhere. It does not have a message to put across and it would not even act as a tourism advertisement, other than perhaps to Naturists. Apart from the Australian accent, the filming could have been in any sunny country. What makes this film distinctly Australian is the fact that it is pointless (cinema verite?), and only Australian Cinema, and other medium sized National Cinemas, could consider such a rash option. At the same time, these medium sized cinemas have room for experimentation in the quest for identity, and a 'flop' is not going to damage their reputation too much. It is always possible, given that Maslin Beach is now a collector's item, that the film might become internationally popular, but it is very unlikely.<br /><br />During this critique, I have been sounding highly negative, at times, about Maslin Beach. This is not the real position, as I found the film very easy to watch. I enjoyed it as a reflection of near reality and real people (and problems). The problems confronted in the film are those of the everyday, and a little low on spectacle. This does it no harm in my view, and I wish that more films dealt with the everyday like this. There is a connection here with the cinemas of Europe, and with French film in particular. They rarely deal with major disasters or catastrophes, but with the everyday. Hollywood is in direct opposition to this, and rides the crest of the hyper-real action/drama/angst wave. The pace too, is much faster in Hollywood, but it is not reality. Maslin Beach is not exactly 'Jacques Tati' either, but it is on the right track, even if it does ignore issues of multi culturalism, equality, gender orientation and so on, that are of such importance in current cinema. I am sure that you will either love or hate this film, with little room for a middle ground.<br /><br />
pos	You'd be forgiven to think a Finnish director from Helsinki would be no good at directing an American horror movie (especially one entirely located inside a US prison) - see this to prove yourself wrong! It was produced in the 80's after all and the film was made on a budget more fitting to a modern DIY company TV advert (something I think anyone would really notice nowadays what with practically everyone being accustomed to $100m+ budgets for action movies unfortunately dominating the industry mind!) being Mr Harlin's first major production and the - at least what nowadays would be considered a stellar - cast. I still think most of the Nordic contribution to the film industry as a whole is more to do with Stellan Stargaard's screen appearances (not mentioning the well overrated Mr(s) Bergman directorial efforts) - at least for all female viewers - but this flick really proves there does exist proper movie talent outside of the US and Hollywood to make us watch a film in suspense. Do try and watch this movie even if you're not a horror puff, IMO it's definitely worth it!
pos	Henry Fool surprised me. I didn't expect it to entertain and amuse as well, or as strongly, as it did. Fay Grim continues to surprise in that it provides solid continuation to a story that seems not to need it. Once the viewer watches the first 20 minutes of the movie, however, it becomes blindingly aware that this is one of the BEST sequels to brilliant indie film. At least as good as Ginger Snaps Back, if not better.<br /><br />I am a little disappointed that Jeff Goldblum's part is so small, but I'm happy he is a part of this short run. He is convincing and delightful as Agent Fulbright. Also a delight is Liam Aiken who quite aptly portrays Ned Grim, the son of Fay and Henry.<br /><br />This movie is a pleasure for so many reasons. I am pleased, for example, to discover that Henry isn't really the loser he seems (by the end of Fool), and to further discover that he is, in fact, a genius...well, that really is a lovely stroke of the pen.<br /><br />I am hoping they do a third...like the end of the trilogy. It seems to be missing. They should entitle it Ned Fool Grim and it should be Liam looking for his father, to validate the awesome change in his mother, and the sense of near-genius he himself feels welling inside him. Assuming, of course, that Fay continues withholding many of the most important facts from her son, concerning his father. It feels like it needs to be done. I'd buy it.<br /><br />Even with more action, this is still not an action flick. It is more drama and intrigue...a mystery, of sorts. I'll watch it often.<br /><br />It rates an 8.3/10 from...<br /><br />the Fiend :.
pos	"There's a theory of time that posits that all the moments that ever existed and will exist, actually exist right now. It's a bit too much to wrap your head around, but perhaps a bit of a comfort to those who wish they could go back to a simpler time and place. For Barbara Jean Trenton (Ida Lupino), that time was twenty five years earlier, the mid 1930's when her youth and glamor held the greatest promise. For my part, if I could travel through time, it would be back to the 1950's when I grew up. Maybe to a place like Willoughby, but that's another episode.<br /><br />One thing that wouldn't be so special about 1959 would involve dealing with all that clunky machinery just to watch an episode of ""The Twilight Zone"". How many reels do you think it would take to catalog the entire series, and then find a particular story you wanted to watch? I guess you have to consider the trade offs, convenience versus simplicity, having it right now or taking the time to spool it up to the exact spot where the story begins. Popping in a CD has it's advantages.<br /><br />I'm a little surprised that Rod Serling would pen a story that so closely resembled ""Sunset Boulevard"". Ida Lupino's character mirror imaged Norma Desmond just a bit too closely to be considered an original concept. Martin Balsam portrays very much a similar character to Erich von Stroheim, the husband turned butler who's loyalty is unquestioned. Where the story diverges has to do with the way Danny (Balsam) and Sall (Ted de Corsia) challenge Barbara Jean to get with reality and clear the cobwebs that paralyze her existence.<br /><br />Fortunately for us viewers, Ida Lupino had no such reservations about taking parts that were 'not big, but a nice showcase'. It's a real treat to watch any episode of ""The Twilight Zone"" and get to see who pops up from days gone by. Sometimes you get a two-fer, like you have here with Lupino and Balsam, celebrities who sometimes made their mark before the series began, and sometimes after. Combined with the stories that the program produced, it's not surprising that they still manage to entertain so well today."
pos	"When ever a film is produced or directed by Mel Ferrer, you can bet your life any of his pictures will be seen for generation after generation. Just having Claudette Colbert,(Ellen R. Ewing),""The Egg & I"",'47 appearing and starring in the film will make it even more of a great Classic Film. In this film, Ellen Ewing gets married and then she encounters all kinds of mental problems and even murder. The mystery gets very much involved and Robert Ryan,(David McLean),""Battle of the Bulge"",'65, comes to the aid of Ellen and sometimes you even wonder about David being on the up and up. As you view this picture you just about find yourself beginning to understand who is the real nutty person and all of a sudden, you begin to change your mind how the film will end. Great acting by Claudette Colbert and Robert Ryan who played an entirely different role than he usually portrays on the screen. I forgot to mention that Mel Ferrer, was married to a great film star, Audrey Hepburn. Great Classic film, with great Classic Actors !"
pos	I was at the same screenwriters conference and saw the movie. I thought the writer - Sue Smith - very clearly summarised what the film was about. However, the movie really didn't need explanation. I thought the themes were abundantly clear, and inspiring. A movie which deals with the the ability to dare, to face fear - especially fear passed down from parental figures - and overcome it and, in doing so, embrace life's possibilities, is a film to be treasured and savoured. I enjoyed it much more than the much-hyped 'Somersault.' I also think Mandy62 was a bit unkind to Hugo Weaving. As a bloke about his vintage, I should look so good! I agree that many Australian films have been lacklustre recently, but 'Peaches' delivers the goods. I'm glad I saw it.
pos	Highly recommended!!<br /><br />A well written, funny film which will appeal to everyone out there with a sense of humour!!!. Give it a go, it's good to see an Independent British Movie more than holding it's own against the big established studios!! Definitely worth adding to any film collection. There are scenes in this film that I'm sure a lot of people will be able to relate to. You will laugh out loud at the antics and enjoy the great soundtrack. I especially enjoyed the Orb's version of Jimmy Cliff's Vietnam and The Tower of London's take on Freebird. <br /><br />Go on give it a go............ you won't be disappointed.
pos	I think this show is definitely the greatest show. Jessica Alba does such a great job in it. Michael Weatherly also does an awesome job, as well as the rest of the cast. The show is very intriguing and they have wonderful storylines and their stunts are amazing. It's like watching a 1-hour movie. It's definitely worth watching.
